one	/wʌn/<br>num.一  pron.一个人<br>例: They had one daughter. 他们有一个女儿。
people	/'piːp(ə)l/<br>n.人民，民族；人<br>例: How many people were at the meeting? 有多少人到会？
make	/meɪk/<br>v.使；做，制造<br>例: I’m going to show you how to make a box for your tools. 我来教你怎么做一个箱子存放工具。
use	/juːz/<br>n.使用；用途；发挥  v.利用；耗费<br>例: an exit for use in emergencies 紧急出口
say	/seɪ/<br>v.比如说[用于举例]<br>例: ‘I’m so tired,’ she said. “我太累了。”她说。
work	/wɜːk/<br>n.工作；[物] 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品  v.使工作；操作；经营；使缓慢前进<br>例: There isn’t a lot of work at this time of the year. 每年这个时候工作机会都不多。
may	/meɪ/<br>v.aux可能；可以，祝<br>例: I may be late, so don’t wait for me. 我可能会迟到，所以别等我。
write	/raɪt/<br>v.写，写字；写作，作曲；写信<br>例: I wrote her several letters , but she didn’t reply. 我给她写了几封信，可是她没有回复。
word	/wɜːd/<br>n.[语] 单词；话语；消息；诺言；命令  v.用言辞表达<br>例: Write an essay of about five hundred words. 写一篇约500字的文章。
time	/taɪm/<br>n.时间，时刻；次，回；时代，时期；倍，乘<br>例: Einstein changed the way we think about space and time. 爱因斯坦改变了我们的时空概念。
take	/teɪk/<br>v.拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）  n.捕获量；看法；利益，盈益；（入场券的）售得金额<br>例: Would you mind taking Susie home ? 请你带苏茜回家好吗？
find	/faɪnd/<br>v.找到；发觉；找出<br>例: I can’t find the car keys. 我找不到汽车钥匙。
new	/njuː/<br>adj.新的；新近出现的<br>例: the city’s new hospital 市里新建的医院
give	/gɪv/<br>v.做，作；送给<br>例: Researchers were given a £10,000 grant to continue their work. 研究人员得到一万英镑的经费以继续他们的研究。
good	/gʊd/<br>adj.好的；有本事的<br>例: a good hotel 一家不错的宾馆
many	/'menɪ/<br>adj.许多的  pron.许多人<br>例: Among his many hobbies was the breeding of fine horses. 在他的众多爱好中有饲养名马。
human	/'hjuːmən/<br>adj.人的，人类的  n.人<br>例: There are many different cell types in the human body . 人体中有许多种不同的细胞类型。
change	/tʃeɪn(d)ʒ/<br>n.改变，变化；零钱<br>例: I find it hard to cope with change. 我觉得很难适应变化。
follow	/'fɒləʊ/<br>v.从事（职业），经营
way	/weɪ/<br>n.（特定的）状态，状况<br>例: My family was in a bad way financially. 我家当时经济窘迫。
record	/(for v.)rɪˈkɔːd; (for n.) ˈrekɔːd/<br>n.记录；履历  v.记录<br>例: According to official records, five people were killed last year near that road junction. 据官方记录，去年有五人在那个路口附近丧生。
help	/help/<br>v.帮助；援助  n.帮手<br>例: If there’s anything I can do to help, just give me a call. 如果需要我帮忙，就给我打个电话。
get	/get/<br>v.变得，成为；到达<br>例: We need to get help quickly! 我们需要马上得到帮助！
world	/wɜːld/<br>n.世界；领域；世俗；全人类；物质生活<br>例: Tuberculosis is still common in some parts of the world . 结核病在世界上某些地区仍很常见。
would	/wʊd; wəd/<br>aux.将，将要；愿意  v.will的过去式<br>例: Would you shut the window, please? 请把窗户关上，好吗？
best	/best/<br>adj.最好的；最大的<br>例: He won the best actor award. 他获得最佳男演员奖。
student	/'stjuːd(ə)nt/<br>n.学生；学者<br>例: Warren's eldest son is an art student. 沃伦的长子是一名学艺术的学生。
child	/tʃaɪld/<br>n.小孩，儿童；儿子<br>例: The hotel is ideal for families with young children. 这家宾馆对带小孩的家庭再合适不过。
year	/jɪə; jɜː/<br>n.年；年度；历年；年纪；一年的期间；某年级的学生<br>例: I arrived here two years ago. 我两年前来到这里。
study	/'stʌdɪ/<br>n.学习，研究；课题；书房；学问  v.学习；考虑；攻读；细察<br>例: Recent studies show that women still get paid a lot less than men. 最近的调查表明，女性的薪水仍比男性的要低很多。
learn	/lɜːn/<br>vi&vt.学，学习<br>例: What’s the best way to learn a language? 学习语言的最佳方法是什么？
like	/laɪk/<br>v.喜欢；喜爱；希望<br>例: I like your jacket. 我喜欢你这件上衣。
allow	/ə'laʊ/<br>v.允许，准许；任<br>例: We don’t allow diving in the pool. 泳池内禁止跳水。
read	/riːd; (read, read) red/<br>v.读，看懂  v.读<br>例: I can’t read your writing. 我看不懂你写的东西。
even	/'iːv(ə)n/<br>adj.平稳的，均匀的<br>例: The room is kept at an even temperature. 这个房间保持恒温状态。
social	/'səuʃl/<br>adj.社会的； 交际的， 社交的<br>例: social issues, such as unemployment and education 失业和教育之类的社会问题
also	/'ɔːlsəʊ/<br>adv.亦，也；而且，还<br>例: Information is also available on women’s health care. 还可以获得有关女性保健方面的资料。
life	/laɪf/<br>n.生命；一生；寿命<br>例: Learning goes on throughout life. 学习是一生的事。
must	/mʌst/<br>v.aux必须；必然要<br>例: All passengers must wear seat belts. 所有乘客都必须系安全带。
become	/bɪ'kʌm/<br>v.变成；成为，变得<br>例: The weather became warmer. 天气变暖和了。
think	/θɪŋk/<br>v.想；认为；想起；想像；打算  n.想；想法  adj.思想的<br>例: I thought I heard something. 我觉得我听到了什么声音。
long	/lɒŋ/<br>v.渴望<br>例: How long will it take to get there? 到那里去要多长时间？
bank	/bæŋk/<br>v.把钱存入银行<br>例: Did you bank that check? 你把那张支票存入银行了吗？
need	/niːd/<br>v.需要  v.aux需要<br>例: You don’t really need a car. 你其实并不需要一辆车。
food	/fuːd/<br>n.食物，食品，养料<br>例: The restaurant serves good food at affordable prices. 那家餐厅物美价廉。
could	/kəd; kʊd/<br>aux.v(can的过去式)
university	/juːnɪ'vɜːsɪtɪ/<br>n.(综合)大学<br>例: He teaches Esperanto at that university. 他在那所大学教世界语。
live	/laɪv；lɪv/<br>v.居住；活  adj.活的<br>例: He lives just across the street from me. 他就住在我街对面。
research	/rɪ'sɜːtʃ; 'riːsɜːtʃ/<br>n.研究；调查  v.研究；调查<br>例: Gould was helped in his researches by local naturalists. 古尔德在研究过程中得到了当地博物学家的帮助。
much	/mʌtʃ/<br>adv.非常，很  adj.许多的<br>例: The day ended much as it began. 这一天结束时还像开始时一样。
end	/end/<br>n.目标，目的<br>例: She’ll do anything to achieve her own ends. 她为了实现自己的目标，什么都会去做。
high	/haɪ/<br>adj.高的；高级的  adv.高<br>例: This is the highest mountain in Japan. 这是日本最高的山。
feel	/fiːl/<br>v.摸起来<br>例: It’s nice fabric - it feels like velvet. 面料不错——摸上去像丝绒。
problem	/'prɒbləm/<br>n.问题；习题，问题<br>例: She was older than me, but that wasn’t really a problem. 她比我年长，不过那不算什么问题。
school	/skuːl/<br>n.学校；学院；学派；鱼群  v.教育<br>例: His mother always used to pick him up from school. 他母亲以前一直去学校接他。
country	/'kʌntrɪ/<br>n.国家，国土；农村<br>例: the Scandinavian countries 斯堪的纳维亚国家
different	/'dɪf(ə)r(ə)nt/<br>adj.差异的；各种的<br>例: The place looks completely different now. 这地方现在完全变了。
come	/kʌm/<br>v.来，来到；出现<br>例: Let me know when they come. 他们来了就告诉我。
technology	/tek'nɒlədʒi/<br>n.工艺学； 工艺， 技术<br>例: Modern technology makes moving money around much easier than it used to be. 现代科技使货币流动比以前便捷得多。
job	/dʒɒb/<br>n.职业；工作；零活<br>例: Do you enjoy your job? 你喜欢自己的工作吗？
develop	/dɪ'veləp/<br>v.使（底片）显影<br>例: Did you ever get the pictures developed ? 你到底有没有把照片冲洗出来？
