排名,单词,频次,出现卷数,音标,释义,同义词,例句(英),例句(中),词库来源
1,one,520,58,/wʌn/,num.一  pron.一个人,unique / sole / ane,They had one daughter.,他们有一个女儿。,CET4_2
2,people,490,59,/'piːp(ə)l/,n.人民，民族；人,mankind / humanity / nation / citizen / folk,How many people were at the meeting?,有多少人到会？,CET4_2
3,make,443,58,/meɪk/,v.使；做，制造,earn / acquire / prepare / provide / expect,I’m going to show you how to make a box for your tools.,我来教你怎么做一个箱子存放工具。,CET4_2
4,use,369,56,/juːz/,n.使用；用途；发挥  v.利用；耗费,employment / usage / utilization / purpose / invest,an exit for use in emergencies,紧急出口,GaoZhong_2
5,say,321,53,/seɪ/,v.比如说[用于举例],let / point out / suppose / make a gesture / to express,"‘I’m so tired,’ she said.",“我太累了。”她说。,CET4_2
6,work,308,53,/wɜːk/,n.工作；[物] 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品  v.使工作；操作；经营；使缓慢前进,job / pursuit / operation / profession / career,There isn’t a lot of work at this time of the year.,每年这个时候工作机会都不多。,GaoZhong_2
7,may,308,56,/meɪ/,v.aux可能；可以，祝,should / must / would,"I may be late, so don’t wait for me.",我可能会迟到，所以别等我。,CET4_2
8,write,297,59,/raɪt/,v.写，写字；写作，作曲；写信,compose / drive the quill / pen,"I wrote her several letters , but she didn’t reply.",我给她写了几封信，可是她没有回复。,GaoZhong_2
9,word,288,58,/wɜːd/,n.[语] 单词；话语；消息；诺言；命令  v.用言辞表达,news / instruction / bidding / message / order,Write an essay of about five hundred words.,写一篇约500字的文章。,GaoZhong_2
10,time,273,55,/taɪm/,n.时间，时刻；次，回；时代，时期；倍，乘,era / age / when / multiple / regular,Einstein changed the way we think about space and time.,爱因斯坦改变了我们的时空概念。,KaoYan_1
11,take,259,56,/teɪk/,v.拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）  n.捕获量；看法；利益，盈益；（入场券的）售得金额,carry / adopt / have / eat / assume,Would you mind taking Susie home ?,请你带苏茜回家好吗？,GaoZhong_2
12,find,253,58,/faɪnd/,v.找到；发觉；找出,detect / earn / acquire / expect / count,I can’t find the car keys.,我找不到汽车钥匙。,CET4_2
13,new,249,54,/njuː/,adj.新的；新近出现的,fresh / updated / recently / freshly,the city’s new hospital,市里新建的医院,CET4_2
14,give,241,57,/gɪv/,v.做，作；送给,award / effect / form / grant / inspire,"Researchers were given a £10,000 grant to continue their work.",研究人员得到一万英镑的经费以继续他们的研究。,CET4_2
15,good,240,54,/gʊd/,adj.好的；有本事的,fine / Ok / great / religious / bright,a good hotel,一家不错的宾馆,CET4_2
16,many,237,54,/'menɪ/,adj.许多的  pron.许多人,numerous / multiple / hundred / lotsa / plentiful,Among his many hobbies was the breeding of fine horses.,在他的众多爱好中有饲养名马。,CET4_2
17,human,236,51,/'hjuːmən/,adj.人的，人类的  n.人,demic / hominine / person / mankind / man,There are many different cell types in the human body .,人体中有许多种不同的细胞类型。,CET4_2
18,change,234,52,/tʃeɪn(d)ʒ/,n.改变，变化；零钱,influence / fashion / exchange / shift / vary,I find it hard to cope with change.,我觉得很难适应变化。,CET4_2
19,follow,227,58,/'fɒləʊ/,v.从事（职业），经营,string along / ambition / string along / go on to / me-tooism,,,CET6_2
20,way,218,54,/weɪ/,n.（特定的）状态，状况,path / method / direction / orientation / approach,My family was in a bad way financially.,我家当时经济窘迫。,CET6_2
21,record,212,43,/(for v.)rɪˈkɔːd; (for n.) ˈrekɔːd/,n.记录；履历  v.记录,register / keep track of / keep track of / make notes of / disk,"According to official records, five people were killed last year near that road junction.",据官方记录，去年有五人在那个路口附近丧生。,CET4_2
22,help,211,53,/help/,v.帮助；援助  n.帮手,facilitate / promote / boost / cure / further,"If there’s anything I can do to help, just give me a call.",如果需要我帮忙，就给我打个电话。,CET4_2
23,get,210,52,/get/,v.变得，成为；到达,acquire / make / earn / buy / find,We need to get help quickly!,我们需要马上得到帮助！,CET4_2
24,world,209,50,/wɜːld/,n.世界；领域；世俗；全人类；物质生活,universe / domain / province / territory / kingdom,Tuberculosis is still common in some parts of the world .,结核病在世界上某些地区仍很常见。,GaoZhong_2
25,would,203,48,/wʊd; wəd/,aux.将，将要；愿意  v.will的过去式,shall / may,"Would you shut the window, please?",请把窗户关上，好吗？,GaoZhong_2
26,best,202,53,/best/,adj.最好的；最大的,groove / high point / greatest / perfect / prime,He won the best actor award.,他获得最佳男演员奖。,CET4_2
27,student,199,37,/'stjuːd(ə)nt/,n.学生；学者,scholar / academic / pupil,Warren's eldest son is an art student.,沃伦的长子是一名学艺术的学生。,KaoYan_2
28,child,198,38,/tʃaɪld/,n.小孩，儿童；儿子,son / creation / fruit / seed,The hotel is ideal for families with young children.,这家宾馆对带小孩的家庭再合适不过。,CET4_2
29,year,197,51,/jɪə; jɜː/,n.年；年度；历年；年纪；一年的期间；某年级的学生,annum,I arrived here two years ago.,我两年前来到这里。,GaoZhong_2
30,study,190,52,/'stʌdɪ/,n.学习，研究；课题；书房；学问  v.学习；考虑；攻读；细察,learning / knowledge / research / letter / analyse,Recent studies show that women still get paid a lot less than men.,最近的调查表明，女性的薪水仍比男性的要低很多。,GaoZhong_2
31,learn,190,48,/lɜːn/,vi&vt.学，学习,to study / linken / to study,What’s the best way to learn a language?,学习语言的最佳方法是什么？,CET4_2
32,like,189,50,/laɪk/,v.喜欢；喜爱；希望,love / think / prefer / affect / as per,I like your jacket.,我喜欢你这件上衣。,CET4_2
33,allow,188,59,/ə'laʊ/,v.允许，准许；任,afford / let / have / deal / extend,We don’t allow diving in the pool.,泳池内禁止跳水。,CET4_2
34,read,177,52,"/riːd; (read, read) red/",v.读，看懂  v.读,absorb / see / seize / lire / learned,I can’t read your writing.,我看不懂你写的东西。,CET4_2
35,even,176,51,/'iːv(ə)n/,adj.平稳的，均匀的,flat / equivalent / equal / level / actually,The room is kept at an even temperature.,这个房间保持恒温状态。,CET6_2
36,social,176,45,/'səuʃl/,adj.社会的； 交际的， 社交的,gregarious / sodality / get-together,"social issues, such as unemployment and education",失业和教育之类的社会问题,CET4_3
37,also,168,50,/'ɔːlsəʊ/,adv.亦，也；而且，还,moreover / too / besides / either / likewise,Information is also available on women’s health care.,还可以获得有关女性保健方面的资料。,CET4_2
