rank,word,frequency,doc_freq(共59卷)
1,one,520,58
2,people,490,59
3,make,443,58
4,use,369,56
5,say,321,53
6,work,308,53
7,may,308,56
8,write,297,59
9,word,288,58
10,time,273,55
11,take,259,56
12,find,253,58
13,new,249,54
14,give,241,57
15,good,240,54
16,many,237,54
17,human,236,51
18,change,234,52
19,follow,227,58
20,way,218,54
21,record,212,43
22,help,211,53
23,get,210,52
24,world,209,50
25,would,203,48
26,best,202,53
27,student,199,37
28,child,198,38
29,year,197,51
30,study,190,52
31,learn,190,48
32,like,189,50
33,allow,188,59
34,read,177,52
35,even,176,51
36,social,176,45
37,also,168,50
38,life,160,52
39,must,159,49
40,become,159,51
41,think,154,48
42,long,152,57
43,bank,152,49
44,need,150,50
45,food,148,40
46,could,146,45
47,university,140,34
48,live,139,49
49,research,138,43
50,much,137,49
51,end,136,53
52,high,136,40
53,feel,134,50
54,problem,134,44
55,school,132,30
56,country,132,35
57,different,132,48
58,come,131,50
59,technology,128,37
60,job,126,39
61,develop,124,44
62,show,122,50
63,parent,122,28
64,require,120,55
65,great,119,50
66,company,118,40
67,data,117,30
68,author,117,44
69,increase,117,47
70,often,116,48
71,experience,116,45
72,information,115,41
73,government,113,29
74,speak,109,51
75,science,109,27
76,essay,108,56
77,without,108,43
78,thing,107,45
79,might,106,34
80,state,105,37
81,product,104,27
82,try,104,47
83,begin,104,44
84,see,104,45
85,example,103,43
86,woman,103,23
87,benefit,102,46
88,know,102,41
89,health,102,34
90,place,101,44
91,likely,97,42
92,understand,96,43
93,others,96,39
94,mean,96,39
95,college,96,27
96,public,94,30
97,employee,93,20
98,provide,93,43
99,keep,92,43
100,least,91,58
101,business,91,36
102,first,91,40
103,pay,90,35
104,well,89,45
105,around,89,45
106,want,88,37
107,start,87,41
108,family,87,38
109,create,86,41
110,whether,86,33
111,behavior,86,26
112,large,85,38
113,cost,85,35
114,animal,85,24
115,share,85,30
116,education,84,30
117,play,83,44
118,ten,83,50
119,cause,83,43
120,climate,82,25
121,impact,81,41
122,lead,81,47
123,scientist,81,31
124,interest,80,41
