序号,类别,中文,标准英译,真题词频
1,一、国家·文化·传统,中国,China,108
2,一、国家·文化·传统,中华民族,the Chinese nation,5
3,一、国家·文化·传统,文化,culture,12
4,一、国家·文化·传统,文明,civilization,0
5,一、国家·文化·传统,传统,tradition; traditional,8
6,一、国家·文化·传统,历史,history,19
7,一、国家·文化·传统,习俗,custom,3
8,一、国家·文化·传统,象征,symbol; to symbolize,6
9,一、国家·文化·传统,中华文化,Chinese culture,0
10,一、国家·文化·传统,民族,nation; ethnic group,2
11,一、国家·文化·传统,古代,ancient times,2
12,一、国家·文化·传统,悠久,long-standing; time-honoured,0
13,一、国家·文化·传统,遗产,heritage,0
14,一、国家·文化·传统,价值,value,0
15,一、国家·文化·传统,精神,spirit,0
16,一、国家·文化·传统,繁荣,prosperity; to flourish,5
17,一、国家·文化·传统,伟大,great,4
18,一、国家·文化·传统,独特,unique,5
19,一、国家·文化·传统,丰富,rich; abundant,6
20,一、国家·文化·传统,著名,famous; renowned,6
21,一、国家·文化·传统,被誉为,be hailed/known as,5
22,一、国家·文化·传统,自古以来,since ancient times,3
23,二、经济·科技·发展,经济,economy,14
24,二、经济·科技·发展,发展,development; to develop,17
25,二、经济·科技·发展,增长,growth; to grow,6
26,二、经济·科技·发展,增加,to increase,9
27,二、经济·科技·发展,建设,construction; to build,7
28,二、经济·科技·发展,工程,project; engineering,3
29,二、经济·科技·发展,技术,technology,3
30,二、经济·科技·发展,系统,system,6
31,二、经济·科技·发展,设计,design; to design,5
32,二、经济·科技·发展,先进,advanced,3
33,二、经济·科技·发展,迅速,rapid; rapidly,6
34,二、经济·科技·发展,现代化,modernization,0
35,二、经济·科技·发展,创新,innovation,0
36,二、经济·科技·发展,产业,industry,2
37,二、经济·科技·发展,企业,enterprise,0
38,二、经济·科技·发展,北斗,Beidou (Navigation Satellite System),4
39,二、经济·科技·发展,太空,space,3
40,二、经济·科技·发展,航天,aerospace; space flight,0
41,二、经济·科技·发展,卫星,satellite,0
42,二、经济·科技·发展,全球,global; the whole world,6
43,二、经济·科技·发展,覆盖,to cover,3
44,二、经济·科技·发展,推进,to advance/promote,4
45,二、经济·科技·发展,持续,continuous; sustained,4
46,二、经济·科技·发展,促进,to promote,4
47,二、经济·科技·发展,改善,to improve,4
48,二、经济·科技·发展,提供,to provide,7
49,三、社会·民生·养老,社会,society; social,11
50,三、社会·民生·养老,政府,government,10
51,三、社会·民生·养老,人口,population,5
52,三、社会·民生·养老,养老,elderly care; pension,16
53,三、社会·民生·养老,老年人,the elderly; senior citizens,8
54,三、社会·民生·养老,老龄化,ageing (of population),3
55,三、社会·民生·养老,社区,community,3
56,三、社会·民生·养老,社会保障,social security,3
57,三、社会·民生·养老,服务,service,7
58,三、社会·民生·养老,服务质量,service quality,3
59,三、社会·民生·养老,教育,education,5
60,三、社会·民生·养老,生活,life,9
61,三、社会·民生·养老,幸福,happiness; well-being,3
62,三、社会·民生·养老,健康,health; healthy,3
63,三、社会·民生·养老,人民,people,3
64,三、社会·民生·养老,机构,institution; organization,5
65,三、社会·民生·养老,保障,to guarantee; safeguard,0
66,三、社会·民生·养老,措施,measure,2
67,三、社会·民生·养老,采取措施,to take measures,3
68,三、社会·民生·养老,鼓励,to encourage,3
69,三、社会·民生·养老,确保,to ensure,3
70,三、社会·民生·养老,公共,public,3
71,三、社会·民生·养老,改革,reform,0
72,三、社会·民生·养老,政策,policy,0
73,三、社会·民生·养老,需求,demand; need,2
74,三、社会·民生·养老,参与,to participate,0
75,四、地理·自然·旅游,地区,region; area,11
76,四、地理·自然·旅游,城市,city,7
77,四、地理·自然·旅游,旅游,tourism; to travel,7
78,四、地理·自然·旅游,游客,tourist; visitor,4
79,四、地理·自然·旅游,高原,plateau,4
80,四、地理·自然·旅游,青藏高原,the Qinghai-Tibet Plateau,7
81,四、地理·自然·旅游,黄土高原,the Loess Plateau,5
82,四、地理·自然·旅游,云贵高原,the Yunnan-Guizhou Plateau,5
83,四、地理·自然·旅游,河流,river,4
84,四、地理·自然·旅游,长江,the Yangtze River,3
85,四、地理·自然·旅游,平均海拔,average elevation/altitude,5
86,四、地理·自然·旅游,生态系统,ecosystem,3
87,四、地理·自然·旅游,生物,organism; living things,3
88,四、地理·自然·旅游,风景秀丽,have beautiful scenery,3
89,四、地理·自然·旅游,区域,region; zone,3
90,四、地理·自然·旅游,分布,to be distributed,3
91,四、地理·自然·旅游,位于,to be located in,8
92,四、地理·自然·旅游,气候,climate,0
93,四、地理·自然·旅游,资源,resource,0
94,四、地理·自然·旅游,环境,environment,3
95,四、地理·自然·旅游,吸引,to attract,4
96,四、地理·自然·旅游,风景,scenery; landscape,0
97,四、地理·自然·旅游,自然,nature; natural,2
98,四、地理·自然·旅游,世界,world,18
99,五、文学·艺术·语言,小说,novel,14
100,五、文学·艺术·语言,文学,literature,6
101,五、文学·艺术·语言,诗歌,poetry,3
102,五、文学·艺术·语言,诗人,poet,3
103,五、文学·艺术·语言,艺术,art,6
104,五、文学·艺术·语言,绘画,painting,3
105,五、文学·艺术·语言,作品,work (of art/literature),3
106,五、文学·艺术·语言,故事,story,5
107,五、文学·艺术·语言,成语,idiom,6
108,五、文学·艺术·语言,创作,to create; creation,4
109,五、文学·艺术·语言,欣赏,to appreciate,3
110,五、文学·艺术·语言,语言,language,7
111,五、文学·艺术·语言,汉语,Chinese (language),8
112,五、文学·艺术·语言,方言,dialect,10
113,五、文学·艺术·语言,人物,character; figure,9
114,五、文学·艺术·语言,文字,writing; characters,0
115,五、文学·艺术·语言,书法,calligraphy,0
116,五、文学·艺术·语言,高雅,elegant; refined,3
117,五、文学·艺术·语言,生动,vivid,3
118,五、文学·艺术·语言,形象,image,3
119,五、文学·艺术·语言,受欢迎,popular; well-received,3
120,五、文学·艺术·语言,喜爱,to be fond of; love,4
